Name,year 1998,year 1999,year 2000,year 2001,year 2002,year 2003,year 2004,year 2005,year 2006,year 2007,year 2008,year 2009,year 2010,year 2011,year 2012,year 2013
Minna,,,,,,107,112,117,,,,,154,311,189,202
Mira,,,,,,,112,137,142,191,212,210,178,164,160,170
Miranda,79,88,83,106,96,140,,124,152,139,146,123,,,,
Moa,780,805,743,689,799,817,711,695,622,569,515,509,542,462,427,382
Molly,91,118,118,148,170,205,219,266,326,431,547,625,677,675,606,554
My,130,157,178,151,156,149,152,148,127,145,,143,180,185,205,150
Märta,,,,,,,,115,115,139,140,163,189,212,199,193
Nathalie,420,339,402,361,415,361,350,361,208,339,369,331,282,251,233,216
Nellie,218,191,196,226,309,357,394,462,533,675,645,616,592,633,575,502
Nicole,137,134,139,114,123,151,119,137,141,114,,139,142,140,,122
Nina,77,,,,,,,,,,,,,,,
Nora,172,239,250,260,270,280,344,327,344,369,361,337,290,305,290,282
Nova,,,,,,122,233,314,375,448,470,466,515,474,428,456
Novalie,,,,,,,,,,,,,129,,126,157
Olivia,379,396,435,379,410,451,475,465,444,487,495,569,703,578,550,616
Patricia,85,,,,,,,,,,,,,,,
Paulina,81,82,,,,,,,,,,,,,,
Rebecka,570,479,428,421,397,325,336,288,260,244,195,186,179,152,,
Ronja,156,162,184,160,200,178,198,160,185,182,178,176,176,170,201,201
Rut,,,,,,,,,,,,124,,126,127,133
Sabina,89,83,,,,,,,,,,,,,,
Saga,174,206,295,291,398,437,545,508,538,500,469,512,490,436,489,505
Sally,,,,,,,,,,,,,,,,126
Sandra,409,361,320,268,216,197,169,152,126,,,,,,,
Sanna,277,231,242,188,188,195,155,113,118,115,,,,,,
Sara,743,728,741,670,687,582,578,584,522,470,478,459,404,366,370,332
Selma,,80,115,152,198,178,186,251,273,316,322,384,359,365,383,395
Signe,,,,82,,,114,134,186,252,247,303,352,362,393,414
Sigrid,,,,,,,,,,107,,,,147,209,256
Siri,,,,,,109,,,140,206,256,281,262,287,335,292
Smilla,,,,,128,120,113,109,,,,,,,,
Sofia,586,529,497,510,436,465,395,389,391,332,281,333,297,310,342,314
Sofie,279,256,197,173,195,182,188,118,120,137,141,143,135,135,132,
Stella,,,,,101,136,167,247,350,378,332,403,416,459,512,499
Stina,185,166,157,149,189,180,226,254,235,227,236,255,240,228,215,217
Svea,,,,,,,,,,110,158,187,183,176,206,218
Thea,79,100,138,218,394,451,455,402,415,338,372,368,380,341,270,275
Therese,177,173,95,93,,,,,,,,,,,,
Tilda,167,244,395,441,566,551,554,465,470,341,332,298,308,235,218,194
Tilde,,138,276,406,442,470,476,416,355,342,335,325,431,326,283,279
Tindra,,,,128,320,456,493,526,511,405,402,355,307,238,196,179
Tova,94,142,187,185,210,211,214,192,156,133,,,,,,
Tove,131,140,151,176,154,158,114,108,113,,,,218,185,139,119
Tuva,,,108,208,284,302,396,375,400,424,419,398,431,394,360,293
Tyra,,,,98,123,205,230,306,377,336,347,322,409,333,361,322
Vanessa,,,83,,95,,,,,,,,,,,
Vendela,112,112,133,109,128,132,151,121,118,,114,,,,,
Vera,,,69,122,108,161,181,211,243,288,297,331,399,400,404,448
Viktoria,324,287,266,250,207,189,164,153,136,128,149,138,,131,130,127
Vilda,,,,,,,,,,,,145,158,148,146,146
Wilma,838,849,1139,901,892,882,800,748,852,922,703,668,742,657,578,600
Adam,615,713,797,697,662,671,628,585,569,528,465,509,474,479,453,466
Adrian,156,149,156,150,182,203,241,230,265,257,266,283,276,299,341,398
Ahmed,78,92,92,80,,,,,,,,,,,,
Albert,,,80,79,,,,,,,,,,,,
Albin,669,684,731,845,921,921,801,769,750,695,613,602,581,525,480,454
Alex,214,208,191,210,235,218,214,205,227,235,266,223,239,172,185,152
Alexander,1080,1027,1014,951,1082,1031,981,958,909,782,860,837,887,740,754,694
Alfons,,,,,,,95,,,111,,,,,,
Alfred,129,136,145,161,258,269,268,299,303,319,362,422,480,431,495,473
Ali,99,79,87,111,97,123,103,101,112,118,129,128,144,144,154,
Alvin,,,,,87,165,267,280,382,409,467,520,488,416,378,344
Anders,67,,,,,,,,,,,,,,,
André,184,142,135,124,123,118,103,105,109,,,,,,,
Andreas,553,491,377,321,300,230,207,177,118,,,,,,,
Anton,1086,1106,1082,1006,995,1001,928,855,901,823,705,662,627,655,613,577
Aron,,,73,,86,,101,109,119,150,141,150,133,149,175,181
Arvid,214,205,233,291,329,415,418,449,486,498,507,554,596,566,541,575
August,88,92,112,105,138,142,118,122,112,115,146,169,174,197,237,248
Axel,501,573,540,588,619,688,757,755,753,700,689,715,692,685,634,677
Benjamin,204,217,230,260,343,319,312,312,342,378,392,428,457,447,416,412
Björn,67,,,,,,,,,,,,,,,
Casper,224,246,294,335,366,408,411,381,378,356,370,351,380,385,339,320
Charlie,,,,,93,95,,124,159,217,247,399,531,562,717,716
Christian,201,174,183,132,127,147,106,,,105,,,,,,
Christoffer,472,395,367,330,296,267,214,166,149,115,124,,,,,
Colin,,,,,,,,,,,,,,,140,195
Daniel,768,755,626,465,465,394,360,325,286,253,219,221,225,181,202,179
Dante,,,,,,,,,,141,,130,,,,
David,727,657,644,626,621,626,607,506,440,412,402,318,302,260,245,222
Dennis,289,288,292,226,234,226,186,185,130,144,140,118,,,,
Douglas,67,,89,81,,,,,,,,,,,,
Ebbe,,,,,,,,,,,,,134,134,230,221
Eddie,82,73,78,,89,93,105,107,120,133,122,141,186,188,186,173
Edvard,,,,,,,,,,,,,,131,163,164
Edvin,225,320,332,424,494,469,476,527,573,576,595,544,609,544,531,539
Elias,400,493,599,702,879,927,922,995,1048,1047,961,1018,888,837,770,676
Elis,,,,,,,,111,150,157,161,157,177,174,196,180
Elliot,75,128,192,232,271,312,326,466,498,497,450,477,509,496,480,500
Elton,,,,,,,,,,,,148,184,182,227,204
Elvin,,,,,,,,,,,,,131,155,202,203
Emanuel,67,74,85,92,103,94,,,,,,,,,,
Emil,849,897,906,951,1084,1108,1021,946,904,840,774,705,729,700,642,573
Erik,1206,1122,1068,1057,1120,1043,1028,901,872,857,788,727,741,649,612,513
Fabian,144,178,189,186,228,189,207,199,169,165,190,142,136,161,,
Felix,486,494,467,436,409,461,494,490,508,469,426,391,367,316,347,300
Filip,1316,1253,1167,1118,1092,1144,1198,1022,993,868,783,708,685,614,673,652
Frank,,,,,,,,,,,,,154,182,177,214
Fredrik,448,397,349,253,219,164,142,115,107,,,,,,,
Gabriel,268,328,333,346,394,388,386,380,354,319,394,403,380,342,325,349
Gustav,706,706,727,732,819,849,838,733,672,744,674,597,617,525,537,512
Hampus,444,449,562,577,619,556,490,416,431,345,320,289,247,210,209,156
Hannes,143,171,191,217,196,199,223,229,249,233,175,165,163,157,140,
Harry,,,,,,,,,,,125,158,211,249,274,274
Henrik,254,219,184,173,163,146,113,,,,,,,,,
Henry,,,,,,,,,,,,,,,164,169
Herman,,69,80,91,94,97,,104,,109,,,,,,
Hjalmar,,,,,,,,,,,131,149,183,160,143,173
Hugo,271,404,623,671,735,777,873,945,964,964,885,878,873,863,778,749
Isak,497,544,684,760,887,992,986,1009,914,838,788,691,712,560,556,511
Ivar,,,,,,,,,,,,,130,145,143,196
Jack,71,90,72,79,88,97,,107,184,201,226,233,250,260,311,322
Jakob,875,867,762,646,793,693,622,499,503,522,420,399,414,328,365,319
Jens,76,,,,,,,,,,,,,,,
Jesper,710,563,495,417,387,367,295,271,200,182,144,119,,,,
Jimmy,106,85,,,,,,,,,,,,,,
Joakim,327,291,260,228,190,153,97,104,,,,,,,,
Joel,404,396,412,475,489,512,478,501,458,395,287,293,298,250,218,183
Johan,679,626,536,469,399,379,292,266,196,164,149,,,,,
Johannes,279,245,270,259,239,246,215,241,167,158,128,126,141,,,
John,207,191,181,173,181,151,164,162,139,154,147,151,167,163,188,180
Jonas,292,207,172,160,146,138,106,,,,,,,,,
Jonathan,960,935,879,774,771,753,751,678,598,569,474,448,377,383,327,310
Josef,124,125,168,134,145,195,168,196,174,208,230,238,258,271,274,293
Julian,,,,,,,,,,,,,131,,151,159
Julius,64,58,74,92,,,,,,,,,,,,
Kalle,79,73,113,108,123,123,132,136,126,,,,,,,
Karl,653,616,621,626,603,623,592,564,442,462,412,424,324,335,280,286
Kevin,501,500,557,479,515,516,577,553,500,442,462,440,400,400,352,323
Kim,124,100,106,83,,,,,,,,,,,,
Leo,111,141,182,243,316,457,579,635,670,660,684,684,764,642,668,619
Leon,,60,76,80,118,150,165,271,311,285,337,392,411,412,428,417
Levi,,,,,,,,,,,,,,,135,
Liam,,98,147,209,297,523,539,670,643,745,744,681,782,748,722,708
Linus,750,777,812,854,819,856,748,732,678,553,511,427,394,329,255,236
Loke,,,,,,,103,110,112,153,141,163,179,231,220,258
Louie,,,,,,,,,,,,,,,,166
Love,83,86,103,134,130,179,183,183,235,239,198,269,357,317,323,294
Lucas,754,861,890,895,983,1068,1093,1099,1173,1065,1090,1114,1026,973,908,935
Ludvig,468,468,482,554,534,634,662,612,615,599,576,556,580,565,562,579
Magnus,78,,,,,,,,,,,,,,,
Malte,,,,88,119,169,198,228,240,333,295,343,320,327,316,354
Marcus,908,852,778,675,628,581,513,282,312,304,265,197,151,139,,
Martin,494,428,382,332,305,289,232,201,170,160,140,,,,,
Matteo,,,,,,,,,,,,,,,135,162
Mattias,470,476,384,310,282,270,230,162,179,152,151,122,,,,
Max,356,395,436,477,518,543,651,637,671,560,540,582,529,461,490,398
Maximilian,,,,79,107,93,133,104,105,146,194,165,193,165,171,176
Melker,,65,129,143,185,231,275,276,311,313,284,312,369,382,352,346
Melvin,,,97,149,250,313,362,551,638,581,572,619,562,471,506,556
Mikael,223,195,176,151,129,116,110,,,,,,,,,
Milo,,,,,,,,,,,144,266,373,304,289,329
Milton,,,,,,,,118,113,183,171,169,196,184,180,212
Mio,,,,,,,,,,,,148,148,159,157,156
Mohamed,156,158,170,143,153,144,170,188,190,197,208,232,244,248,300,318
Måns,109,129,112,138,150,163,182,180,262,245,203,169,189,150,,
Neo,,,,,,93,139,199,224,260,252,289,313,289,226,186
Niklas,364,292,217,200,155,125,109,,,,,,,,,
Nils,146,174,201,214,239,267,259,291,312,349,367,395,431,483,473,492
Noah,75,140,193,225,302,341,376,428,502,530,578,488,554,449,532,489
Noel,,,,80,153,254,273,283,269,362,305,358,417,326,333,287
Oliver,521,526,548,569,724,711,692,721,683,733,749,770,810,758,691,800
Olle,172,174,186,202,276,337,355,395,432,447,421,434,464,602,588,578
Olof,84,75,,87,88,,95,,,,,,,,,
